name,address,city,province,zip,country,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Bronny Sturges,3072 Briar Crest Hill,Abbotsford,BC,Q0F 9J2,Canada,3195471,2,6,772,3669
Valdemar Olekhov,29564 Walton Parkway,Langley,BC,N6F 6Q4,Canada,1210269,8,8,2188,534
Jori Nyssen,9350 Waywood Street,Abbotsford,BC,M3D 0R8,Canada,518196,3,8,1007,1208
Eadie Whiting,6 Birchwood Pass,Delta,BC,M6C 3R9,Canada,2503773,6,3,144,1360
Aura Mandry,78 Scott Terrace,Langley,BC,W1H 1J4,Canada,1481029,1,6,2349,1812
Oliver Ruzic,26 Quincy Lane,Delta,BC,P1J 8V7,Canada,3198925,1,3,344,1742
Niki Prettejohns,22 Walton Plaza,Abbotsford,BC,I8G 5B7,Canada,736265,1,6,2813,2555
Timoteo Varvell,92 Garrison Street,Coquitlam,BC,P5E 1O8,Canada,347054,7,8,1511,1328
Rhianon Robrose,8 Stang Hill,New Westminster,BC,F7U 4H1,Canada,1001487,8,0,1910,4352
Hatty Jellman,34963 Washington Parkway,Burnaby,BC,S4C 7R3,Canada,2704469,6,0,384,3034
Worden Shills,74673 Moland Way,New Westminster,BC,S9N 2A9,Canada,3152481,6,1,824,756
Staford Tipper,8122 Southridge Lane,Kelowna,BC,N2C 1N6,Canada,2473933,7,8,2835,1974
Nelly Madden,5476 Crest Line Avenue,Kelowna,BC,X3N 5J4,Canada,3088015,5,7,1952,3573
Mildred Grisdale,3 Arizona Circle,Burnaby,BC,Y2O 0L8,Canada,2735195,1,3,853,4725
Rozalie Guiet,372 Northridge Hill,Vernon,BC,T8W 0U9,Canada,660259,5,6,3256,1194
Rad Suerz,716 Muir Circle,Burnaby,BC,F1A 8T0,Canada,1212394,8,6,1708,3483
Meier Redon,530 Goodland Park,Delta,BC,Q7J 8C7,Canada,269442,0,3,103,1912
Hobie Ateggart,8 Division Point,New Westminster,BC,D9G 5O3,Canada,2131923,2,1,1164,2021
Niels Yukhnev,245 Sommers Court,Richmond,BC,Z8D 1F5,Canada,778547,4,5,1111,4936
Haleigh Booton,56257 Morning Avenue,Burnaby,BC,Q4I 8P3,Canada,2083070,4,8,2986,2761
Claribel Barton,359 Monterey Court,Victoria,BC,V9R 1U5,Canada,1486859,8,8,3290,4984
Mickey Itzhak,800 Meadow Vale Plaza,Kamloops,BC,Q7A 3G6,Canada,2022813,8,2,803,982
Gratia Aust,721 Spaight Court,Richmond,BC,T8V 0N7,Canada,1030763,3,8,885,4956
Marysa Bancroft,29 Golf Alley,Chilliwack,BC,C1W 3S8,Canada,282056,6,0,3174,676
Ase Heindrick,9427 Rutledge Plaza,Prince George,BC,N3L 5D8,Canada,1717579,0,8,2100,4322
Arte Locke,908 Vermont Circle,New Westminster,BC,U2V 1C6,Canada,1809192,1,7,2516,3551
Estrellita Colvie,572 Coleman Plaza,Vernon,BC,F5I 2S8,Canada,1623928,6,2,2275,1005
Mira Yokelman,0540 Monica Pass,Kelowna,BC,D0X 6G0,Canada,1611657,1,6,1875,2978
Shae Bastiman,02 Washington Terrace,New Westminster,BC,B3L 0S0,Canada,1178144,4,5,1267,2296
Nathanial Gunner,23328 Derek Road,Maple Ridge,BC,F0T 1G7,Canada,1114363,2,8,1031,3123
Bonny McQuaid,2 Hoard Junction,Prince George,BC,Y7O 9F2,Canada,1520846,0,2,1696,3830
Sollie Speariett,9 Pleasure Drive,Surrey,BC,R9U 5O0,Canada,3165848,6,0,698,4260
Lesly Bahia,7120 Meadow Ridge Lane,Burnaby,BC,B1M 7G1,Canada,843919,4,6,2604,2722
Abigale Warwicker,176 Pine View Center,Chilliwack,BC,M1B 7G9,Canada,1943727,1,2,3245,2552
Shurlocke Lamcken,95164 Carpenter Court,Coquitlam,BC,V7M 5U2,Canada,1608077,4,3,450,1263
Franchot Coy,3914 Morningstar Hill,Nanaimo,BC,Z1K 1X4,Canada,2348358,3,0,715,1321
Winny Semour,85543 Marquette Pass,Surrey,BC,C3K 4H8,Canada,1419534,3,1,1636,4920
Juli Vyvyan,1987 Norway Maple Drive,Abbotsford,BC,R6A 2J8,Canada,1396687,5,2,977,4914
Starlin Newitt,685 Myrtle Place,Vancouver,BC,C9A 6Q4,Canada,643501,2,1,2703,1696
Iseabal Greenhough,072 Milwaukee Crossing,Langley,BC,W3L 0R3,Canada,1588516,8,4,917,2416
Horatio Heads,3 Starling Terrace,Vancouver,BC,V6J 0V2,Canada,389255,3,6,1305,1112
Diana Bramsom,9 Texas Way,Kamloops,BC,P8S 4T8,Canada,771408,3,4,543,1529
Tiphany Howison,895 Schurz Alley,New Westminster,BC,T2U 9U1,Canada,354152,1,6,1503,1155
Arielle Collcutt,0 Thierer Hill,Vancouver,BC,E4X 3Y8,Canada,2826019,7,0,1723,4614
Fran Witling,3 Bowman Crossing,New Westminster,BC,X4R 3J4,Canada,2939310,4,1,670,3568
Randa Lehmann,81 Sachtjen Place,Surrey,BC,K6W 9J8,Canada,1698868,4,7,2537,2898
Kizzee Gehrts,2442 Nova Place,Kelowna,BC,R7T 3D6,Canada,2075997,8,8,2287,4792
Berti Neiland,43 Rigney Way,Nanaimo,BC,P3O 6U7,Canada,1693081,2,6,2954,3781
Alvan Kingerby,15984 Bluejay Avenue,Kelowna,BC,R4W 3O0,Canada,2931813,5,5,183,806
Kalil Bynert,020 Caliangt Hill,New Westminster,BC,L0U 8Q9,Canada,438478,5,7,90,3963
Elysee Blaney,15337 Delladonna Place,Langley,BC,I9S 3A1,Canada,2225094,7,5,1184,3025
Chandra Whitlam,0 Erie Lane,Coquitlam,BC,J8H 9Z8,Canada,2084603,0,3,1208,505
Belicia Oppy,1 Jackson Avenue,Abbotsford,BC,R3I 0R6,Canada,2918788,1,1,1555,1937
Millicent Boyall,87 Pepper Wood Lane,Nanaimo,BC,M1F 4V1,Canada,2857764,7,4,1332,4398
Georgeanne Currell,0 Continental Lane,Langley,BC,T1A 6N8,Canada,2066159,8,2,3300,4868
Waneta Durante,664 Barby Point,Kamloops,BC,K8Z 5R6,Canada,804299,7,0,2320,2995
Pat Benton,05725 Saint Paul Hill,Chilliwack,BC,H9B 8X2,Canada,1876866,5,6,2990,1547
Sheilakathryn Skipperbottom,6804 Melrose Point,Vancouver,BC,P7G 9D1,Canada,500839,1,8,2683,3098
Erhard Ganter,61569 New Castle Drive,Prince George,BC,O6J 4I3,Canada,667374,1,6,2012,2497
Edlin Fiske,8926 Gulseth Avenue,New Westminster,BC,W2S 1L5,Canada,1423978,0,2,3273,767
Rudy Sales,88708 Dawn Terrace,Surrey,BC,I6K 7I7,Canada,1158478,0,6,652,4290
Steve Jacquot,276 Cody Circle,Maple Ridge,BC,Q8G 6Z4,Canada,2357347,4,7,208,2027
Marcela M'Quharg,04 Forest Dale Drive,Surrey,BC,H9O 4E9,Canada,1228210,2,3,2728,3737
Harriot Gatman,1 Westridge Crossing,Langley,BC,F7X 4H5,Canada,2920321,8,1,2032,3074
Pauletta Sawforde,2 Maple Way,Vancouver,BC,S3T 5O0,Canada,1331108,3,4,779,4703
Roland Banyard,992 Morning Parkway,Kamloops,BC,V8V 6A3,Canada,502620,4,3,1924,3863
Woodrow Anderton,5533 Golf Way,Prince George,BC,F2X 4Q4,Canada,1150199,7,6,2517,4426
Lorettalorna Balasin,5987 Lake View Street,Surrey,BC,L9X 7S0,Canada,2451751,5,5,3148,885
Aidan Prestland,9 Chive Park,Surrey,BC,L6F 0R5,Canada,2449051,8,0,1602,2333
Petronille Yitzhakov,3557 Hallows Circle,Abbotsford,BC,E9E 7U7,Canada,3189726,4,3,1400,1599
Ewart Seyers,7333 Corry Parkway,Kelowna,BC,X9J 8K5,Canada,902425,7,4,2390,4823
Yorker Sketh,0 Truax Crossing,Maple Ridge,BC,S8U 0Z8,Canada,1140385,1,6,2812,2639
Bertram Wadge,6359 Buell Center,Victoria,BC,X9R 8E1,Canada,2221553,5,0,1243,4435
Sophie Sebrook,2436 Northview Alley,Richmond,BC,N7V 2O9,Canada,1704654,1,7,1004,1733
Odette Simione,08693 Glendale Plaza,Maple Ridge,BC,T3H 5A3,Canada,2873805,8,4,633,2748
Arlen Grosvenor,21 Rigney Terrace,Vernon,BC,E5Y 7P8,Canada,2157461,5,0,562,4238
Jeffrey Larder,710 Sundown Point,Langley,BC,M2R 5H1,Canada,2709000,8,2,1799,940
Carmel Heinsius,61 Spaight Plaza,Delta,BC,D1H 1Y3,Canada,1353489,1,7,2576,2506
Reynolds Wellbeloved,51283 Norway Maple Hill,Prince George,BC,F3F 0X1,Canada,1205733,8,7,1680,3481
Kane Littrell,98 Mesta Way,Victoria,BC,E2E 5M4,Canada,1138082,1,1,1128,2867
Franni Eymer,50529 Jenifer Court,Maple Ridge,BC,B1U 5L2,Canada,322440,4,8,3279,4460
Pavla Witsey,201 Spohn Street,Chilliwack,BC,L7Z 9R9,Canada,2853105,7,7,876,2634
Avram Laverack,7 Upham Trail,Prince George,BC,G1K 2H3,Canada,446713,5,2,3188,1818
Teodorico Benstead,862 Hoard Street,New Westminster,BC,E1C 4V5,Canada,1548212,8,3,1795,4266
Price Winspar,85145 Spenser Court,Kelowna,BC,D6T 1H3,Canada,1557039,8,5,1392,2491
Moll Gilstin,15 New Castle Way,Vancouver,BC,H5H 4P6,Canada,2240301,7,8,2089,451
Cosme Coslitt,0 Farmco Parkway,Kelowna,BC,W1Z 2I9,Canada,1357226,6,2,1161,2223
Dix Tearle,306 Emmet Center,Surrey,BC,I4X 6K3,Canada,3126684,6,0,2200,1102
Aharon Butson,5541 Paget Hill,Maple Ridge,BC,S3L 4V8,Canada,2179535,8,5,3287,1132
Julianne Rennles,1795 Stuart Drive,Victoria,BC,M1I 0U6,Canada,1519262,1,1,1731,381
Retha Tarply,5562 Magdeline Plaza,Nanaimo,BC,N6T 9D1,Canada,891193,2,7,2045,690
Marlo Canner,99094 Farmco Park,Surrey,BC,X7J 4G9,Canada,2175018,2,7,92,1515
Lyssa Cawtheray,930 Shopko Road,Vernon,BC,D2D 5Z1,Canada,1648710,3,1,590,1188
Antonella Linacre,5 International Circle,Chilliwack,BC,R7U 6Y1,Canada,717750,3,0,1917,1693
Lauren Giovani,09505 Troy Center,Victoria,BC,D6F 5K1,Canada,2491475,6,1,2246,4766
Diane-marie Savidge,87 Alpine Lane,Victoria,BC,M1J 6V1,Canada,2349111,0,5,586,4068
Albertina Lowell,98 Pankratz Avenue,New Westminster,BC,P5B 9Y5,Canada,2179205,7,2,208,4794
Ezechiel Bignall,43 Northview Court,Coquitlam,BC,W7F 7U3,Canada,1765542,8,8,991,3837
Dayle Atley,845 Loeprich Avenue,Prince George,BC,E7D 7N4,Canada,2486983,3,4,3076,2403
Franky Le Claire,7 Heath Street,Surrey,BC,J1B 2X0,Canada,2869404,6,3,2150,3890
Ophelia Fawcus,1 Vernon Pass,Abbotsford,BC,L1R 8C1,Canada,2262225,6,6,2734,366
Freeland Gerwood,25 Esch Junction,Richmond,BC,A8Z 1C1,Canada,2681545,1,6,1173,2127
Augustine Chaffin,3 Londonderry Terrace,Kelowna,BC,A7G 4Q5,Canada,2370305,2,6,1706,4437
Sherwin Pedrollo,62 Atwood Way,Coquitlam,BC,M3T 0V3,Canada,1585077,6,1,2623,958
Genovera Claye,4738 Mosinee Center,Victoria,BC,L7V 0Z7,Canada,436156,2,1,858,527
Sheffield Buxy,11787 Knutson Place,Victoria,BC,X9M 7X0,Canada,1049901,0,2,2612,642
Lammond Swyn,0317 Melrose Circle,Abbotsford,BC,V1C 7U6,Canada,346320,7,4,1255,3133
Jehu Duchesne,03412 Northridge Circle,Abbotsford,BC,O9R 5U0,Canada,1824817,4,7,2401,4720
Beatrice Langrick,7426 Magdeline Parkway,Kamloops,BC,R5G 9J1,Canada,2702407,0,8,3099,1869
Virginia Speariett,2 American Ash Street,Maple Ridge,BC,D2W 7M9,Canada,2485064,5,1,2997,3988
Rickie Shapera,856 Knutson Place,Prince George,BC,A3F 1O5,Canada,693922,2,4,1343,3678
Otho Ambrois,3110 Quincy Plaza,Maple Ridge,BC,X7E 9H3,Canada,1486021,0,0,1287,3749
Anitra Duchant,7 Huxley Parkway,Vancouver,BC,Q8V 6H6,Canada,816497,1,4,785,2221
Karlyn Hedney,972 Clyde Gallagher Terrace,Burnaby,BC,E4M 2B7,Canada,478717,0,3,1268,3999
Briant Keasley,076 Bay Terrace,Maple Ridge,BC,J3B 3K5,Canada,1069258,2,1,2554,1739
Olenka Paschek,912 Hollow Ridge Crossing,New Westminster,BC,Z3Z 6R0,Canada,990748,2,4,868,4754
Nelle De Minico,89636 Katie Pass,Coquitlam,BC,O9S 7M9,Canada,2967031,1,4,80,2296
Chelsea Gagen,8 Forest Run Hill,Richmond,BC,A4G 7B4,Canada,1290051,2,0,183,1265
Jennie Coushe,546 Blaine Court,Victoria,BC,T4D 0O5,Canada,3130227,5,0,100,3470
Curt Sevitt,331 Norway Maple Avenue,Nanaimo,BC,V6S 9U4,Canada,2350527,3,4,3421,3297
Shannen Klausen,1 Oneill Road,Abbotsford,BC,N9G 1H1,Canada,1258087,4,7,683,2188
Raimund Roddam,3136 Dawn Avenue,Delta,BC,Z9I 2T4,Canada,2404581,4,4,1485,3835
Jennine Simm,782 Beilfuss Lane,Vancouver,BC,R1A 0A4,Canada,2777754,1,5,2889,2058
Kristina Vanyukhin,17 Stuart Court,Langley,BC,K2A 8E9,Canada,2636607,1,1,480,501
Aldric McKall,92128 Village Green Center,Prince George,BC,H9E 0V8,Canada,664325,0,7,1083,2873
Ewell Regus,0801 Buhler Crossing,Prince George,BC,Y5B 5X7,Canada,231124,0,7,1801,428
Latisha Grim,62199 Kingsford Crossing,Prince George,BC,S1F 4F0,Canada,2853905,0,6,2827,4101
Berta Dearness,1991 8th Terrace,Kelowna,BC,W7T 8S2,Canada,749568,7,7,763,2153
Orin Selliman,86375 Mendota Park,Burnaby,BC,I8A 2G3,Canada,2680119,2,6,88,3681
Katinka Petticrow,948 Macpherson Trail,Richmond,BC,R3W 5N5,Canada,1749455,0,8,878,3911
Tod Titchmarsh,19 Holmberg Drive,Vernon,BC,D8T 1M2,Canada,1973870,1,0,3266,3678
Inesita Crocetto,7168 Transport Parkway,Vernon,BC,Y8T 4T3,Canada,2014404,1,2,2057,3426
Rudyard Bohea,2 Petterle Court,Vancouver,BC,W0I 1L4,Canada,2640988,5,4,1238,1462
Elberta Wimlet,4753 Arizona Hill,Kamloops,BC,Q0H 9N9,Canada,2278303,0,7,3068,2582
Peter Maass,25201 Victoria Junction,Maple Ridge,BC,S4S 2X3,Canada,3004280,6,3,1977,3544
Leone Jaycock,07557 Melvin Park,Kelowna,BC,Z8H 4O8,Canada,2674859,7,7,1292,1816
Ulla Scottrell,8949 Stuart Street,Abbotsford,BC,O4U 0K6,Canada,2501978,8,7,969,1329
Drusy Dutson,50 Anthes Trail,Burnaby,BC,R5M 6X2,Canada,1681214,5,2,3309,3160
Salaidh Breyt,95 Swallow Park,Kelowna,BC,I4O 4J3,Canada,3069678,3,0,3420,3918
Red Whatsize,23 2nd Alley,Chilliwack,BC,Q5T 7D0,Canada,850671,3,2,3250,599
Hewitt Jaquet,95888 Thierer Lane,Richmond,BC,S5J 6A6,Canada,2628255,6,7,317,2026
Stella Beadles,26732 Merrick Trail,Delta,BC,H4J 4X6,Canada,3122579,6,7,1928,3470
Sheridan Kalker,4440 Magdeline Court,Langley,BC,D5R 5F7,Canada,2214560,3,5,856,4860
Dewey Bleckly,055 Ramsey Way,Chilliwack,BC,G4L 2A6,Canada,1189223,0,3,307,3830
Agace Eick,691 Tennessee Junction,Maple Ridge,BC,N2R 5U5,Canada,331129,7,5,1022,4136
Mayer Ainsbury,62 Miller Hill,Victoria,BC,C6V 3N8,Canada,1203606,4,4,86,2501
Kelbee Hitter,83004 Blaine Place,Surrey,BC,L2I 2W6,Canada,2688716,3,3,2693,4255
Riordan Lauthian,49925 Bartelt Alley,Chilliwack,BC,C4Y 4A6,Canada,1420939,3,4,1949,2449
Calvin Mulvagh,6 Oak Valley Center,Victoria,BC,O4K 7N9,Canada,2934149,6,6,1230,656
Oneida Milmo,06328 Buhler Road,Vancouver,BC,I6K 7Z6,Canada,2375413,5,3,817,3422
Talyah Frid,0 Schiller Road,Coquitlam,BC,T9K 5M3,Canada,2882055,1,7,2143,3639
Joceline Longforth,46987 Novick Crossing,Kelowna,BC,Y0D 1A5,Canada,1936077,7,3,614,3917
Arty Farfolomeev,9 Sauthoff Court,Maple Ridge,BC,Q1M 3E3,Canada,2818244,0,7,1743,671
Greggory McKenny,80 Parkside Park,Coquitlam,BC,M5H 5U0,Canada,1689503,0,4,1526,4525
Benoit Golly,34256 Debs Alley,Chilliwack,BC,F9G 1T4,Canada,567300,8,8,2872,1691
Shermie Stribbling,1865 Riverside Avenue,Surrey,BC,N8Q 5A2,Canada,1782405,7,4,817,889
Bertrand Magarrell,65 Mcbride Center,Maple Ridge,BC,C7K 1O9,Canada,3163211,8,5,1245,3535
Marys Haylands,7667 Corry Court,Vernon,BC,G7Y 5V5,Canada,1998467,8,1,2859,4093
Cobb Arghent,4907 Anderson Point,Prince George,BC,I8X 8K9,Canada,2897344,8,0,3028,3566
Kevyn Fellman,7829 Hintze Hill,Kelowna,BC,W1K 0E7,Canada,2124900,2,8,713,3982
Chaddy Caberas,2 Onsgard Way,Vancouver,BC,A7R 6B0,Canada,1774974,3,4,1353,543
Nellie Croal,46 Huxley Street,Prince George,BC,L5B 0Q4,Canada,2920578,3,3,2395,1567
Katuscha Iron,264 School Alley,Maple Ridge,BC,K2F 4W1,Canada,1127310,7,5,2554,719
Margette O'Murtagh,72 Iowa Road,Victoria,BC,K5C 6H3,Canada,589886,7,0,1415,2606
Osmund Osbiston,69758 Fieldstone Parkway,Kelowna,BC,N7X 4U9,Canada,2528525,2,5,2882,1056
Rebekkah Nesterov,97 Dovetail Alley,Delta,BC,X0V 9K7,Canada,565602,8,7,3214,2080
Esme Savege,7963 Meadow Valley Trail,Richmond,BC,Y0P 2Y8,Canada,1491356,1,0,534,2993
Bren Nutter,05 Di Loreto Terrace,Maple Ridge,BC,E1X 7D6,Canada,873645,6,7,2518,3704
Brocky Howton,25558 Hooker Pass,New Westminster,BC,X2P 4K1,Canada,1466197,7,6,2758,1622
Isacco Ashe,103 Independence Pass,Kelowna,BC,V8I 5Z4,Canada,2313968,5,0,759,384
Mikel Heare,7391 Dovetail Parkway,Burnaby,BC,E5S 1V2,Canada,1482544,4,2,2756,1894
Vaughan Goldsworthy,4568 Sugar Plaza,Richmond,BC,A7U 4C3,Canada,3084876,1,7,800,705
Velma Simnor,631 Farwell Parkway,Prince George,BC,T2J 8R0,Canada,1605921,1,3,1463,3773
Ewen Illesley,5 Havey Avenue,Prince George,BC,V3Y 0J6,Canada,2523435,6,6,1140,1192
Nicolea Blaszczynski,1 Carioca Plaza,Prince George,BC,E8J 2I4,Canada,1355288,8,8,739,1845
Quintus Heinl,32974 Thierer Avenue,Surrey,BC,M7Y 6O2,Canada,2750115,6,5,1005,2502
Phyllida Rasper,537 Pine View Terrace,Burnaby,BC,X9W 1R7,Canada,2123054,4,7,2921,443
Vyky Ketts,7183 School Parkway,Delta,BC,U5Y 4U2,Canada,2053554,7,8,2962,2212
Serene Plascott,28 Birchwood Junction,Maple Ridge,BC,N5G 0Y7,Canada,565542,1,5,2875,736
Nicol Gorner,2 Redwing Parkway,Kelowna,BC,C4I 2V6,Canada,2020294,4,8,1170,1255
Yolanthe Annon,9092 Butterfield Junction,Victoria,BC,J4L 8S3,Canada,2525052,0,1,2790,4631
Dionysus Strettle,20553 Ridgeview Point,Delta,BC,R7G 1J7,Canada,3018252,0,0,2070,3342
Meggie Roache,0224 Clyde Gallagher Terrace,Delta,BC,J0N 8H0,Canada,1813381,7,8,3006,4519
Ronica Chardin,9 Continental Avenue,Coquitlam,BC,A5J 7F9,Canada,3156252,5,6,479,4684
Saxe Summerly,9 Prairieview Junction,Abbotsford,BC,L0Q 4D5,Canada,576500,7,5,373,2994
Obadiah Bernadot,47698 Hoard Alley,Kamloops,BC,T1Y 5I1,Canada,1182771,2,7,3122,4478
Jeni Antonin,4728 Westerfield Court,Prince George,BC,B9T 4Z2,Canada,863248,1,4,2057,4906
Mario Reilingen,63216 Ilene Drive,Victoria,BC,W3G 9H9,Canada,2271543,4,8,2884,4009
Gonzalo Otter,79378 Barnett Trail,Vernon,BC,P7W 9P0,Canada,2682135,0,1,2810,2740
Murvyn Dockerty,5 Bobwhite Place,Kamloops,BC,F1L 6C5,Canada,2057722,6,7,2927,3944
Milton Klimowski,16 Rigney Terrace,Langley,BC,R3Y 9P2,Canada,1741814,5,0,142,4050
Debbi Farra,08998 Dorton Point,Kamloops,BC,N4K 3N8,Canada,2046651,4,8,1771,3953
Doralin Hurler,07492 Becker Drive,Vancouver,BC,L3V 9K3,Canada,2836347,4,2,2512,919
Hildegaard Langelay,8 Monument Alley,Coquitlam,BC,Q4H 7K5,Canada,2749751,5,6,424,1294
Caryl De Biaggi,366 Bunker Hill Center,Burnaby,BC,G0S 3O0,Canada,2504744,3,2,1962,3559
Ronny Tathacott,34098 3rd Drive,New Westminster,BC,M3Q 1W9,Canada,1591890,6,5,2333,1723
Maura McLachlan,614 Ridge Oak Court,Chilliwack,BC,D5L 6J3,Canada,214805,6,2,874,4390
Marietta Crisford,21883 Sullivan Alley,Vancouver,BC,B5T 0S1,Canada,1856664,5,3,667,1051
Cam De Wolfe,862 Hanover Crossing,Langley,BC,S9F 2R5,Canada,2907105,7,2,438,3014
Nial Brokenshaw,9194 Arkansas Street,Chilliwack,BC,I3N 5G5,Canada,1492647,3,4,587,866
Allen Peterkin,29 Dennis Way,Prince George,BC,Q8A 9E8,Canada,1018335,2,5,797,3122
Reeta Wands,88085 Jenifer Point,Kelowna,BC,Q1Y 3S8,Canada,695022,8,1,2807,2372
Aurthur Maydwell,39 East Hill,Nanaimo,BC,Y8X 6L5,Canada,825441,6,6,426,1498
Tim Corp,56544 Rockefeller Plaza,Surrey,BC,S3F 5Q9,Canada,2080489,2,3,2591,3032
Reade Martinets,0 Saint Paul Point,Surrey,BC,A2K 5E0,Canada,2559298,7,5,110,469
Cooper Cogdell,62 Heffernan Circle,Kamloops,BC,Z3C 4K8,Canada,2366042,8,8,2973,3859
Clarissa Ivanitsa,1949 Schurz Center,Langley,BC,M4C 8F2,Canada,1858533,0,4,3283,4536
Issie Gidney,6 Valley Edge Court,Vancouver,BC,R1Z 6G8,Canada,1047781,3,4,507,2658
Kathy Biles,132 Main Avenue,Surrey,BC,U2O 1N4,Canada,2099950,3,6,2256,2383
Batsheva Morgue,9 Merchant Alley,Kamloops,BC,N5D 2I0,Canada,1188017,2,6,3307,3732
Rycca Targetter,0984 Moose Plaza,New Westminster,BC,E7Q 2W3,Canada,1645103,1,4,2151,3445
Billi Gash,12368 Ohio Alley,Langley,BC,Q7P 8Y1,Canada,605353,5,8,1413,3628
Beniamino D'Aguanno,1523 Village Road,Coquitlam,BC,V4L 0A5,Canada,1404674,3,0,1016,4403
Lek Brodeur,23272 Sunnyside Avenue,Surrey,BC,X1G 8N9,Canada,2875071,4,5,393,488
Stephan Bordone,0 Starling Park,Maple Ridge,BC,F6J 4Q6,Canada,1452390,2,2,29,4623
Norine Durran,679 Garrison Place,Chilliwack,BC,I6V 1G0,Canada,932966,7,4,1480,3692
Leonore Mabbitt,22 Hollow Ridge Drive,Kamloops,BC,N2H 6M5,Canada,804535,4,4,1422,3297
Corrinne Otton,55 Harper Circle,Surrey,BC,A1R 6B2,Canada,2889884,5,5,2757,2044
Leroy Tertre,2 Fairfield Crossing,Kelowna,BC,V0S 1Y7,Canada,2988271,2,8,3035,2658
Bel Walling,25604 Buhler Park,Prince George,BC,E7V 9P1,Canada,2814494,7,4,1055,2533
Roxi Gotfrey,7603 Oak Valley Parkway,New Westminster,BC,S7Z 2F5,Canada,1420701,2,5,2729,1480
Granger Donnell,8611 Vermont Park,Vernon,BC,B1N 2N3,Canada,2937710,6,3,1327,931
Rockey Bliven,7 Old Gate Parkway,Vancouver,BC,E2F 0F7,Canada,2144349,3,6,2037,4378
Alis Justham,6 Prairieview Way,Maple Ridge,BC,Q4V 0Q9,Canada,1959289,2,5,46,3373
Dorian Portman,8194 Barnett Alley,Kamloops,BC,Q0M 9F9,Canada,513882,3,8,2753,4423
Rossie Niesing,3 Cambridge Park,Coquitlam,BC,G0W 4J5,Canada,463962,7,4,2591,1378
Mollee Groomebridge,4165 Oakridge Hill,Coquitlam,BC,U4F 3D1,Canada,2726032,4,0,1509,729
Felix Dorrins,0 Rusk Trail,Victoria,BC,A6O 4Y2,Canada,353295,2,1,2804,2009
Elonore Friend,77 Rigney Pass,Langley,BC,A3W 1Y8,Canada,1354994,0,1,1453,353
Marvin Tilt,1843 Arizona Drive,Kelowna,BC,A5M 8R2,Canada,2292206,1,5,1269,3280
Donnell Margrett,3 Di Loreto Road,Kelowna,BC,X0P 2P0,Canada,442192,4,2,893,4116
Laryssa Dybell,6181 Delaware Hill,Kamloops,BC,R4X 7E6,Canada,1468668,7,5,204,2003
Don Swannick,4587 Veith Drive,Abbotsford,BC,U3Q 4N5,Canada,1010536,4,1,2399,1840
Amandie Kamen,3 Clyde Gallagher Plaza,Kamloops,BC,K2L 5O1,Canada,2305397,1,5,1230,2671
Terrye Leil,23 Sachs Point,Kelowna,BC,D4J 2G2,Canada,1078037,8,7,2436,4659
Bran Halfacre,513 Katie Crossing,Chilliwack,BC,U3S 2M7,Canada,2920416,4,6,1868,4166
Hailee Ruter,347 Paget Road,Kelowna,BC,I3Q 4S4,Canada,1589920,5,2,2270,3317
Niki Liepina,60 Messerschmidt Hill,Vancouver,BC,X1D 5L7,Canada,1539174,5,8,65,4225
Cooper Wiseman,5 Dunning Terrace,Surrey,BC,Y9K 1E5,Canada,3023998,6,0,480,2832
Tera Janodet,3340 Victoria Center,Vernon,BC,F7Y 7B5,Canada,1599906,1,5,775,2986
Hyatt Martensen,1 Farmco Street,Langley,BC,V2P 9U5,Canada,316607,2,0,3204,3212
Saul Deem,43 Gale Way,Kelowna,BC,D1C 6K5,Canada,1157368,7,4,3091,997
Gerri Watt,7 Gale Crossing,Prince George,BC,V1X 0H0,Canada,2393083,1,0,2465,1863
Christophorus Cowmeadow,4706 Tennyson Point,Kamloops,BC,W6Y 2D4,Canada,3022683,8,0,216,4487
Mal Haydn,1668 Westend Hill,Kamloops,BC,O3L 6F8,Canada,387339,5,6,2534,1471
Aeriell Livesay,825 Springs Trail,Burnaby,BC,B3T 4T0,Canada,2611811,4,3,1979,3117
Yovonnda McCulley,25630 Lawn Pass,Kelowna,BC,I3H 8K2,Canada,2016552,6,1,418,2215
Georgi Kilgrew,4 Morrow Road,Surrey,BC,N3A 3Q1,Canada,1004455,2,5,1159,4100
Audrie Dracey,347 Northland Hill,Kelowna,BC,I5J 3H5,Canada,1981966,0,3,2767,4600
Bondie Weekes,2 Cordelia Center,Delta,BC,A5O 5U7,Canada,479241,5,4,298,4108
Averell Albers,557 Veith Point,Vancouver,BC,J9O 1A9,Canada,729594,7,6,3311,1591
Edee Chantillon,41673 Manitowish Court,Burnaby,BC,E1L 5C8,Canada,332062,7,3,190,1027
Cory Martinyuk,88357 Merrick Street,Chilliwack,BC,H5H 2F0,Canada,921082,3,0,868,573
Lucho Trude,0705 Golf View Circle,Nanaimo,BC,Y8H 0K1,Canada,1258897,8,5,1928,382
Selestina Mazzeo,1357 Jenna Hill,Coquitlam,BC,U7D 5C1,Canada,2990010,4,8,2960,3072
Karolina Broad,9 Eagle Crest Drive,Surrey,BC,H6L 7L1,Canada,1834715,1,4,3319,583
